CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CF01,CF02,CF04,UQ01,UQ02,UQ03,UQ04,D002_01,D002_02,D002_03,D002_04,D002_05,D002_06,D002_07,D002_08,D002_09,D003,D003_05,D004_99,D005_01,PR01_RV1,PR01_RV2,PR01_RV3,AU01_01,AU01_02,AU02_01,AU03_01,AU04_01,AU05,AU05_01,AU05_02,AU05_03,AU05_04,AU05_05,AU05_05a,AU06_01,AU18_01,AU19_01,AU20_01,AU07_01,AU08_01,AU09,AU09_01,AU09_02,AU09_03,AU09_04,AU09_05,AU09_06,AU10,AU10_01,AU10_02,AU10_03,AU10_04,AU10_05,AU10_06,AU11,AU13,AU14_01,AU14_02,AU16_01,AU16_02,AU16_03,AU16_04,AU16_05,AU16_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
88,,,base,interview,06/09/2021 16:36,,,1,1,1,1,1,,,,,,,,,,,,,,6130a4181da59c7e94f02a6f,61361b3f24903104f34b1853,613627600c94a1798912bc86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,25,19,,,,,,77,,06/09/2021 16:37,0,0,3,3,0,0,1.7,35
89,,,base,interview,06/09/2021 16:38,,,1,1,1,1,2,,,,,,,,,,,,,,611bc9eae318562c989d67e3,61361b3f24903104f34b1853,613627bf56994261d1a5914f,5,4,i think it safe for me.,10,6,1,2,1,1,1,1,,its easy to,easy to me,its helpful ,it safe,4,home,1,2,1,1,1,1,1,2,2,2,1,1,1,1,4,1,"
3D shapeslike Rectangular Prism
Faces
Edges
Vertices","Ass,purple", four times because its easy to me.,five times,"animal,bus,car.",its safe easy to creat.it helps to identify that right or wrong.,it should be quick and uniqe.,No,170,854,663,630,69,1241,,,2198,,06/09/2021 17:38,0,0,6,6,0,0,0.4,0
90,,,base,interview,06/09/2021 16:38,,,1,1,1,1,2,,,,,,,,,,,,,,61349cd8b79ee382e7d0a881,61361b3f24903104f34b1853,613627b4cc26c773b2abaf21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,183,,,,,,70,,06/09/2021 16:41,0,0,3,3,0,0,1.91,66
91,,,base,interview,06/09/2021 16:38,,,1,1,1,1,1,5,4,5,6,4,5,5,4,5,2,,40,United States,612a7a60095b02e1a0c44f51,61361b3f24903104f34b1853,613627ddd35ac0868ab46317,4,4,If there is specific account it will be more secure to use so why I am willing to use it. ,5,6,1,2,1,1,1,1,,It will be better. ,Most of the time I have to do things fast so why I want this second.  ,I think so,I want to stay home during pandemic.,5,I want to store it in my house. ,1,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,triangle,blue,1,1,Assembly,I would like to interact via online.,nothing,nothing,18,148,797,932,117,121,33,55,1417,,06/09/2021 17:15,1,0,8,8,0,0,1.06,35
92,,,base,interview,06/09/2021 16:38,,,1,1,2,1,2,,,,,,,,,,,,,,6130a4181da59c7e94f02a6f,61361b3f24903104f34b1853,613627600c94a1798912bc86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,128,121,,,,,,275,,06/09/2021 16:43,0,0,3,3,0,0,0.68,6
93,,,base,interview,06/09/2021 16:39,,,1,,,,,,,,,,,,,,,,,,612c7822f557a583d5ebfe41,61361b3f24903104f34b1853,6136280cc39d350268fcb01e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,06/09/2021 16:39,0,0,1,1,0,0,3,300
94,,,base,interview,06/09/2021 16:40,,,1,1,1,1,2,5,5,4,4,4,4,5,4,5,2,,24,South Africa ,611e2a711b31e24b7133813c,61361b3f24903104f34b1853,6136283f824f46bb11bf762f,5,5,"The reasoning for the answers is based on the belief that the better the authentication method used, the safer my private information will be.",45 seconds,"5 cm in length, 3 cm in breadth and  2cm in height ",1,1,1,2,1,1,,Indoors because it's where I access my private information most of  the time and outdoors because I never always know when I might need to access my private information. ,"45 seconds are sufficient for ensuring that the authentication object has been arranged in such a complex way that logging in, for instance, can only be done by me",The authentication object must have dimensions small enough for it to be held in one's hands (adult's) and it must also be easily portable. ,"By being in my pockets or backpack, I have easy access to an authentication object.",5,In my pockets or backpack. ,5,2,2,2,2,2,1,2,2,1,1,2,1,1,4,1,I prefer it to have the shape of a rectangular prism.,White,2,2,Touch and configuration.,I would like to twist my ideal authentication object in such a way that for instance numbers on it are the way I want them and that I press other 5 out 6 buttons for instance on it.,"1. Must be able to twisted.
2. Must have buttons that on it that can be pressed.
3. Must have numbers on it that can be aligned a certain way.
4. Must have the ability to be blocked after 3 failed attempts. 
5. Must have the ability to go back to its original form.",No.,88,145,107,2464,108,1558,167,3,1479,,06/09/2021 17:58,1,0,8,8,0,0,0.54,4
95,,,base,interview,06/09/2021 16:41,,,1,1,1,2,2,4,2,4,3,1,2,4,4,4,1,,19,Italy,6132213626801c990255aebd,61361b3f24903104f34b1853,613628842852d89b00ed63dd,4,4,I think it is a safe way to keep my authentication.,30,5,1,1,2,1,1,1,,I would use it outdoors because in this way I can avoid to let people see my passwords and it would be better. ,It has to be a safe way but also fast in order not to waste a lot of time.,"It has to be a handy object, also because I want to have it always under control.",They are safe and controlled places. ,1,"bank, post office ",3,1,1,2,2,2,1,2,2,2,1,1,1,1,4,1,cube or parallelepiped,black,"touch, arrangement, assembly",arrangement,arrangement,changing the position of an object,"1. confirmation before proceeding
2. easy to use
3. fast to use
4. light 

secure",no,104,129,56,466,61,580,92,7,1495,,06/09/2021 17:06,1,0,8,8,0,0,0.73,1
96,,,base,interview,06/09/2021 16:41,,,1,1,1,2,1,,,,,,,,,,,,,,612be5040dd12e25ebd68f46,61361b3f24903104f34b1853,6136286ff2c87aaf192920c6,2,4,yes i would consider it,i think less than 10 sec,10 m,2,2,2,1,1,1,,both sides can do ,it's an object it's much faster than us humans ,the distance shouldn't be long ,because its installed in the phone so that it can catch your face ,2,inside the phone behind the face camera ,5,2,2,2,2,2,1,2,2,1,1,1,2,1,5,4,triangle,yellow,,,,,,,29,18,136,434,145,321,,,990,,06/09/2021 16:59,0,0,6,6,21,21,1.19,20
97,,,base,interview,06/09/2021 16:42,,,1,1,1,1,2,4,5,4,5,4,3,4,4,5,1,,26,South Africa,611e25b39724f47936d0dcab,61361b3f24903104f34b1853,613628dcb52ac550681ae353,4,4,"I think it would be a clever invention as sometimes you forget pins and passwords but with the object it is just one thing to remember, making it easier.",60,5cm ,1,1,1,2,1,1,,Indoors when you working from home because that is the trend in the pandemic. Outdoors would be for easier and quicker access to your personal devices.,"I think 60 seconds could be a minimum but it should not take longer than 180 seconds, because sometimes you might be in a hurry or have a deadline and if it is slow to authetic it would defeat the purpose of convenience.",10cm or less should be fine. It should be something that is easy to carry around like a key chain which will not be suspicious or cause a second look.,As I have stated above I think in something that is like a keychain/key ring that would be a nice 'concealing' object for public spaces,4,In a bag or pocket.,3,2,1,2,1,2,1,2,2,2,1,1,1,1,4,1,Ring with a diamond or some sort of fixture.,Copper/silver,2,1,Arrangement and Configuration,"Since I chose a ring, it would be like a miniature puzzle ring where you would arrange the puzzle pieces to what they should be and authentic after authentication, when it is not active it will jumble the pieces again. ","Quality
Size
Price
Convenience
Discrete 
","I think if something like this could be made would be a groundbreaking invention and making lives that much easier. However, there should also be safety measures should you lose the object.",84,63,30,434,65,593,69,7,1345,,06/09/2021 17:05,1,0,8,8,0,0,0.89,3
98,,,base,interview,06/09/2021 16:42,,,1,1,1,1,2,6,5,5,5,5,1,5,5,6,2,,47,US,612f42bc9695926221e6d29a,61361b3f24903104f34b1853,613628e5bbf3f41fe9fb517e,4,4,It can secure my data,10000,5,1,1,1,2,1,1,,N/A,It can secure my data,N/A,N/A,4,Indoor and outdoor,3,1,2,1,2,2,1,3,1,2,1,2,2,1,4,1,4 mm×4 mm,Black,10,10,Commensalism,10,identity to the server or client.,no,55,49,110,192,68,438,97,4,1013,,06/09/2021 16:59,1,0,8,8,0,0,1.03,10
99,,,base,interview,06/09/2021 16:43,,,1,1,1,1,1,5,6,3,5,5,2,6,2,5,1,,23,South Africa,61325bde137e3f0aa5b2ad70,61361b3f24903104f34b1853,61362906a1526b4c564c803d,5,4,It's unique to me so no one other than me will have access,2seconds,4centimeters,1,1,1,2,1,1,,It must be usable for all occasions ,It should be quick so that in cases of emergencies I can have easy access,It should be to large ,Easy access in case of an emergency ,5,It would much accessible in my pockets or handbag,2,1,2,2,1,1,1,2,2,1,1,1,2,1,4,1,I would like it to have the shape of a small diamond,Purple ,"Touch, configuration and arrangement",2,Touch and configuration ,I would like to rotate the top half of the diamond shape,"Must be fast
Durable
Portability 
Accessibility 
Safety ",I would highly appreciate an easily accessible authenticating object,35,68,34,285,73,472,81,7,1055,,06/09/2021 17:01,1,0,8,8,0,0,1,5
100,,,base,interview,06/09/2021 16:43,,,1,1,1,1,2,4,3,4,5,5,4,4,3,4,4,,32,South Africa,6124f4bff431bdddd6e80539,61361b3f24903104f34b1853,613629087a7e270ee5d7f56b,4,3,Because most of the things I do doesn't require authentication,60,6cmx4cm,1,1,1,2,1,1,,To keep snoopers away.o,I might have an emergency to respond to without wasting much time.,Portable enough to carry in a pocket.,Better and safe there rather than a bag. Because it might get lost and be in the wrong hands.,5,In my pocket.,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,1,"Rectangular shape,size of a mobile phone with front camera, touchscreen with touchpad options, on/off button on right-top edge, charger port and a flash color sensor top left on the edge.",Black,1,1,Touch.,Because it takes less time and it is easy.,"Privacy, security,Not a robot check box, end-to-end encrypted, secure.",No,80,41,41,751,89,621,90,7,1720,,06/09/2021 17:12,1,0,8,8,0,0,0.78,1
101,,,base,interview,06/09/2021 16:43,,,1,1,1,1,2,5,4,4,5,6,6,5,4,5,2,,40,United States,6130a4181da59c7e94f02a6f,61361b3f24903104f34b1853,613627600c94a1798912bc86,4,5,I think it would be a great choice,5,7,1,1,1,2,1,1,,Safe for us,It would be a perfect time,It is the good time,Because it is very necessary,4,in public transport,3,1,2,1,2,2,1,3,1,2,1,2,2,1,4,1,I think the cube shape is perfect for 3D authentication.,My preference colour would be purple.,I would be willing to perform 3 interactions to authenticate once using an authentication object.,I want to perform 2 interactions,touch and configuration.,"Touches the object at locations that are only known to them.
Rotate the head to authenticate.","security
location
Possession
Behavior
Inherence","Thank you for giving me the survey. I am very pleased to work with you.
",11,56,287,186,35,943,87,11,1372,,06/09/2021 17:10,1,0,8,8,0,0,1.23,27
102,,,base,interview,06/09/2021 16:43,,,1,1,1,2,1,4,4,4,4,5,2,5,4,3,2,,27,Germany,5e19c3f56b5508244ec3f394,61361b3f24903104f34b1853,6136291feba7ca818dfa54da,3,3,It depends on the user experience. I will use it if it's fast and doesn't require many additional actions.,5,Credit card,1,1,2,1,1,1,,Dont want to look for my authentication object at home.,"For everyday routine, like E-Mails, it should be fast to avoid irritation. It could take longer for rarely used services, like online-banking.",It should fit easily to the wallet.,Same as cash and credit cards.,5,Wallet,3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,Parking disc (Parkscheibe) with the dimensions of a plastic card.,Red.,Two,Two,"Arrangement, Touch",Rotate and press the disk.,Secure. Robust. Small. Fast.  Convinient.,-,56,44,40,739,66,658,64,4,1671,,06/09/2021 17:11,1,0,8,8,0,0,0.93,3
104,,,base,interview,06/09/2021 16:44,,,1,1,1,2,1,5,5,5,5,5,3,5,5,5,1,,24,South Africa,612e2eb2b2dcfd7e9f7c3f2f,61361b3f24903104f34b1853,6136293146c1ebb791cbb792,3,5,The reason for my answer is that we live in a world where authentication is very useful,1 minute,30 centimeter,1,1,1,2,1,1,,Authentication can be useful everywhere and any time,Authentication is very fast,It is not that long,So that I can use it anytime I want,5,Home,1,1,1,1,2,1,1,1,1,1,1,2,1,1,4,1,Square,Purple and white,6,4,Square and circle,In any possible way,"Good use, simplicity, understandable, secure and easy to use",Authentication are a need for our generation,48,4,61,332,65,359,107,9,985,,06/09/2021 17:00,1,0,8,8,0,0,1.18,68
108,,,base,interview,06/09/2021 16:44,,,1,1,2,1,1,,,,,,,,,,,,,,6135a46af831e70b44587de4,61361b3f24903104f34b1853,6136293c9db59ac27b882b7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,115,316,,,,,,319,,06/09/2021 16:54,0,0,3,3,0,0,0.25,0
109,,,base,interview,06/09/2021 16:45,,,1,1,1,1,2,4,4,3,4,5,6,5,3,5,1,,43,Ireland ,612570dbbc7a13280d2f5179,61361b3f24903104f34b1853,61362974ec0753925921eb75,4,4,For extra security I use personal authentication ,10 secs,Like a key,1,2,1,1,1,1,,I see Airlines using it to see who's vaccinated or exempt ,I don't have time to mess with passwords ,Makes it easily portable and can attach to anything ,Obvious ,5,In a secure place. ,3,2,2,1,2,1,1,3,2,2,1,2,1,1,4,1,Possibly a cube. Or horse or dog ,Black/grey/white ,2,2,Arrangement or configuration ,"If a cube, certain sides with buttons to authenticate or a horse flip the mane from one side to the other ","Definitely me.
No access to anything unless completely authenticated and if first method failed to have an alternative access ",No,21,26,16,154,27,253,35,2,534,,06/09/2021 16:54,1,0,8,8,0,0,2.23,61
110,,,base,interview,06/09/2021 16:45,,,1,1,1,1,1,5,5,4,5,5,5,4,5,5,1,,28,South Africa ,60f9be7f70fa019a8a93854e,61361b3f24903104f34b1853,6136297d8c90c2665e72b97d,5,5,I would definitely use the authentication object because it is safe to use and I can interact with it ,5,10cm,1,1,1,2,1,1,,It will be the only way I use for authentication ,It should not take long to authenticate ,The object should fit inside a bag or pocket ,In this way I will be able to know where it is all the time ,5,In a small bag or pouch,2,1,2,1,2,1,1,3,2,1,2,1,2,1,4,1,Square ,Pink,5,3,"Touch, assembly and configuration ",Tap or fold the object ,"Be fast
Recognize my voice
Easy to use
Durable 
Colorful ",No,186,85,53,328,103,524,76,6,1361,,06/09/2021 17:08,1,0,8,8,0,0,0.77,2
111,,,base,interview,06/09/2021 16:45,,,1,1,1,1,1,3,4,4,5,5,5,3,4,3,1,,18,Poland,6129fb2e4876cc2bdc2d610e,61361b3f24903104f34b1853,6136298581fad852c51125e6,5,3,not main form for security,2,10,1,1,1,2,1,1,,I would need this quite often when I'm not at home,I'm an impatient person,portable size would be great,it would be convenient,1,maybe in a pocket if it has small size,2,1,1,1,2,2,1,2,1,1,1,2,2,1,4,1,cube,purple or blue,2,5,"touch, configuration",change the shape,"1. easy to use
2. secure",no,5,43,21,272,63,175,48,5,632,,06/09/2021 16:56,1,0,8,8,0,0,1.75,64
112,,,base,interview,06/09/2021 16:46,,,1,1,1,2,2,1,1,1,1,1,6,2,5,2,1,,20,Spain,6133ee1ffec95fabc2675340,61361b3f24903104f34b1853,6136299e464e53d31b00453a,2,2,i wouldn't see myself using the authentication objects because the fact that it's a complementary object that you need to carry around makes it more inconvenient and i would probably loose it,3 seconds,"5 centimeters, similar to a car key",1,1,1,2,1,1,,if it's a small object i don't think it would be inconvenient to use outdoors and it's always safe to use indoors. However if i were to use it outdoors i would probably be in a calm enviorment without a lot of external stimulus,because that's the maximum amount of time it takes me to log into my email account using my fingertip ID and i wouldn't change it for something that took longer,it's small enough to fit in your pocket and big enough that if you have it in your purse it won't take ages to find,the case would keep the object safe and make it easier to store somwhere that would be dificult to lose,5,Stored in a case that fits in your pocket (similar to the airpod's case) ,1,1,1,2,1,1,1,2,1,1,1,2,2,1,4,1,"rectangular, similar to a car key in sixe and shape.",black,"three at maximum, i think if there were more it would get too complicated.",i would want to perform one or maybe two.,"I would use touch, arrangement or configuration",My object is rectangular so i would make a touch pattern (for example make cross) on the bigger surface and then shake it three times,"bank accounts, work ID, email, phone, computer",no,21,44,52,693,63,483,56,5,1417,,06/09/2021 17:09,1,0,8,8,0,0,1.07,7
113,,,base,interview,06/09/2021 16:46,,,1,1,1,1,1,4,4,4,5,3,3,4,4,5,1,,36,South Africa,612cec0f5c58dc32f675e22b,61361b3f24903104f34b1853,613629a5311e4c910694bf26,5,5,I feel it is very safe and quite cruicail to be authenticated before you can use any devise ,10,2,1,1,2,1,1,1,,I feel it's a neccessary need for when in public,As quick as possible.,The smaller the better and quicker,The portable the better,5,Pocket,1,1,1,1,1,2,1,3,1,2,1,2,2,1,4,1,It would have to be a cube with face recognition and a pin combination to minimise risks,Red / Black or Olive green,4,2,Arrange & Assembly,Smart sensoring would also be ideal,"Risk
Property 
Phone 
Banking 
Work ",No thank you,20,39,24,156,43,201,54,2,539,,06/09/2021 16:55,1,0,8,8,0,0,1.92,46
114,,,base,interview,06/09/2021 16:46,,,1,1,1,1,2,3,4,2,2,3,4,3,5,4,2,,19,South Africa,6135ffad024018e319264314,61361b3f24903104f34b1853,613629a56e31b0904c2401dc,2,2,I am perfectly fine with using authentication like passwords and fingerprints.,10 seconds,It should be 3 cm x 3 cm. It should be smaller than my smartphone.,1,2,1,1,1,1,,"When accessing accounts, most of the time I am inside. So if i were to use an authentication object, then I would most likely use it inside.",Checking emails is something I do regularly so I would not want to use an authentication object if it takes too long.,I would not want to have a big bulky object in my pocket.,"I would like my authentication object to be small enough to fit in my pocket so I can keep in there when not at home, like I do with my phone and wallet.",4,In my pocket,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4,1,I would want my authentication object to be flat-ish. It's size must be 3 cm x 3 cm so that it is small enough to fit in my pocket.,"I would want it to come in a variety of colours that I could choose from. But the colour that I would choose it to be, would be black.",I would be willing to perform 4 interactions.,I would want to perform 2 of the interactions.,Touch and Assembly.,I would want the 3D printed square with the 6 black squares on it instead of 4. I would then press 4 of the 6 black squares to authenticate.,"It must be safe and basically impossible for someone other than me to use.
It must be compatible with a lot of the things I use authentication for.
It must be able to fit in my pocket.
It must be affordable.
It must come in a variety of colours.",I do not have any other comments or remarks.,44,54,26,491,165,767,82,6,1635,,06/09/2021 17:13,1,0,8,8,0,0,0.86,4
115,,,base,interview,06/09/2021 16:46,,,1,2,1,1,1,4,5,2,5,6,2,5,3,5,2,,18,Poland,5fc79abf11714b0ae58665b5,61361b3f24903104f34b1853,613629b356994261d1a59162,4,3,I would be worried that I forget the way to unlock my account (?) That I would do something wrong that would result in me loosing my account,~15,A size of a car key. It should be easy to transfer but not too small ,1,1,1,2,1,1,,I would like to have access to my account anywhere I goin ,Any longer and I would feel annoyed,Any bigger would feel like too much ,I would treat it similarly to my phone I supposed,5,In a bag or pocket,3,2,2,2,1,1,1,4,2,2,2,1,2,1,4,1,"Car key as state before, it's handy ","Something that doesn't bring too much attention, black or maybe gray ",Two at max,One,Touch or configuration,I would like to touch it similarly to fingerprint scanner,"Safe, consuming as little time as possible, a right size, easy to use on the go, colour",I do not,42,77,42,283,57,314,95,6,916,,06/09/2021 17:01,1,0,8,8,0,0,1.05,9
116,,,base,interview,06/09/2021 16:46,,,1,1,1,1,2,5,5,6,5,5,2,5,2,6,1,,20,South Africa,6012ab3e36253d016b804f86,61361b3f24903104f34b1853,613629c2fd4ee3fdb977945c,4,4,it seems more secure than the current options we currently have.Cybercrimes are on the rise and we need to protect ourselves more.,15,5 centimeters,1,1,1,2,1,1,,i need to use my phone in all environments.,It should be long enough to make it complex but not long enough to be a hassle.,ssmall enough to fit into a pocket but big enough not to lose it.,convenience and ergonomics,5,it should have a cover that can go around my neck or stick to the back of my phone.,4,2,1,2,2,2,1,1,1,2,1,1,1,1,4,1,the authentication object should be a rectangle,Black,two,one,touch,There should be random points/circles on the rectangular object that you touch in a sequence that is only known by the user.,"complexity
ergonomic
durable
compact
uses AI",no,142,80,69,468,113,683,181,5,1628,,06/09/2021 17:15,1,0,8,8,0,0,0.63,0
117,,,base,interview,06/09/2021 16:47,,,1,1,1,1,2,6,4,3,5,6,3,5,4,5,2,,20,south africa,613613800fdca27355d3f64f,61361b3f24903104f34b1853,613629e53ba21d6d6771f8f3,3,2,"to me this sounds like trying to fix what isnt broken, but i can also see how this could be useful if done correctly",ten,"i think it should be able to fit in any pocket, smaller than a phone or wallet, but not small enough to lose easily",1,2,1,1,1,1,,outdoor use could lead to theft,"compared how how long it takes to input a password, i beilieve this should be equal or more efficient with regards to time.",i believe it should be convenient to the user,safety,5,somewhere close to the body and easiest for the owner to retrieve,2,1,1,1,2,2,1,4,2,2,2,2,1,1,4,1,cube or a rectangular prism,black or grey,2,1,touch and configuration,"the object would consist of smaller parts being held together, first you would have to configure the parts into the original shape while assigning each 'sub-part"" a specific position, once each ""sub-part"" is in its preconfigured position you would have to touch each ""sub-part"" in a certain pattern.","safety, consealment, ease of use, never having to give it to somebody else and secret confirmation ",no,43,62,34,531,53,662,77,2,1464,,06/09/2021 17:11,1,0,8,8,0,0,1.13,13
